,Code,Course,Round1_x,Round2_x,Round1_y,Round2_y,Round1,Round2
0,AL801,Software Design with Virtual Reality and Gaming,304,328,303.0,,300.0, 
1,AL802,Software Design with Cloud Computing,301,306,332.0,,313.0, 
2,AL803,Software Design with Mobile Apps and Connected Devices,309,337,337.0,,350.0, 
3,AL805,Network Management and Cloud Infrastructure,329,442,333.0,,321.0, 
4,AL810,Quantity Surveying,307,349,319.0,,328.0, 
5,AL820,Mechanical and Polymer Engineering,300,358,308.0,,327.0, 
6,AL830,General Nursing,410,429,442.0,,451.0,444
7,AL832,Psychiatric Nursing,387,403,387.0,384,440.0,431
8,AL836,Nutrition and Health Science,352,383,334.0,,346.0, 
9,AL837,Sports Science with Exercise Physiology,351,392,351.0,,357.0, 
10,AL838,Biotechnology,302,372,307.0,,324.0, 
11,AL839,Microbiology,322,371,325.0,,325.0, 
12,AL840,Pharmaceutical Sciences,328,411,347.0,,346.0, 
13,AL841,Athletic and Rehabilitation Therapy,423,430,430.0,,477.0, 476
14,AL842,Bioveterinary Science,310,366,313.0,,338.0, 
15,AL843,Physical Activity and Health Science,310,330,306.0,,306.0, 
16,AL850,Business,307,356,309.0,,309.0, 
17,AL851,Business and Law,301,341,295.0,,302.0, 
18,AL852,Accounting (with optional placement),290,346,309.0,,336.0, 
19,AL853,Accounting and Law,305,320,,,,
20,AL855,Hospitality Management (with International placement),312,357,308.0,,309.0, 
21,AL857,Digital Marketing,300,360,304.0,,304.0, 
22,AL860,Social Care Practice,309,338,300.0,,301.0, 
23,AL861,Animation and Illustration (portfolio),615,899,578.0,,575.0,
24,AL863,Graphic and Digital Design (portfolio),703,898,781.0,,747.0,
25,AL864,Early Years Care and Education,307,348,307.0,,306.0, 
26,AL870,Applied Psychology,409,445,418.0,,484.0,467
27,CW018,"Business (options, Wexford)",327,349,298.0,248,307.0, 
28,CW028,Early Childhood Education and Care (Wexford),252,308,252.0,,260.0, 
29,CW038,"Art (portfolio, Wexford)",700,700,700.0,,700.0,
30,CW058,Tourism and Event Management (Wexford),252,262,298.0,,292.0, 
31,CW068,Applied Social Studies - Professional Social Care (Wexford),251,280,245.0,,250.0, 
32,CW078,Sustainable Farm Management and Agribusiness (Wexford),266,320,269.0,,270.0, 
33,CW088,Visual Communications and Design (Wexford),309,345,274.0,,270.0, 
34,CW108,Science (options),261,326,261.0,,266.0, 
35,CW128,Brewing and Distilling,271,298,263.0,,307.0, 
36,CW178,Sport Science (options),399,424,,,,
37,CW188,Sport Rehabilitation and Athletic Therapy,454,473,451.0,448,451.0, 
38,CW208,Computer Games Development,281,338,279.0,,272.0, 
39,CW238,Software Development,300,343,297.0,,295.0, 
40,CW248,Information Technology Management,307,357,285.0,,293.0, 
41,CW258,Cybercrime and IT Security,300,328.0,293.0,,292.0, 
42,CW268,Computing in Interactive Digital Art and Design,274,321.0,287.0,,291.0, 
43,CW438,Construction (options),271,308.0,272.0,,260.0, 251
44,CW468,Architectural Technology,252,290.0,262.0,,291.0, 283
45,CW478,Civil Engineering,348,383.0,433.0,,465.0, 
46,CW548,Mechanical Engineering,310,351.0,321.0,,330.0, 328
